index,id_cart,total_cart,discountedTotal,userId,totalProducts,totalQuantity,id_product,title,price,quantity,total_product,discountPercentage,discountedPrice,big_sale,processed_ts
0,1,2328,1941,97,5,10,59,Spring and summershoes,20,3,60,8.71,55,False,1667987616.286083
0,1,2328,1941,97,5,10,88,TC Reusable Silicone Magic Washing Gloves,29,2,58,3.19,56,False,1667987616.286083
0,1,2328,1941,97,5,10,18,Oil Free Moisturizer 100ml,40,2,80,13.1,70,False,1667987616.286083
0,1,2328,1941,97,5,10,95,Wholesale cargo lashing Belt,930,1,930,17.67,766,True,1667987616.286083
0,1,2328,1941,97,5,10,39,Women Sweaters Wool,600,2,1200,17.2,994,True,1667987616.286083
1,2,3023,2625,30,5,10,96,lighting ceiling kitchen,30,2,60,14.89,51,False,1667987616.286083
1,2,3023,2625,30,5,10,91,Black Motorbike,569,3,1707,13.63,1474,True,1667987616.286083
1,2,3023,2625,30,5,10,9,Infinix INBOOK,1099,1,1099,11.83,969,True,1667987616.286083
1,2,3023,2625,30,5,10,16,Hyaluronic Acid Serum,19,1,19,13.31,16,False,1667987616.286083
1,2,3023,2625,30,5,10,54,Pubg Printed Graphic T-Shirt,46,3,138,16.44,115,True,1667987616.286083
2,3,460,403,63,5,10,37,ank Tops for Womens/Girls,50,2,100,12.05,88,True,1667987616.286083
2,3,460,403,63,5,10,80,Chain Pin Tassel Earrings,45,3,135,17.75,111,True,1667987616.286083
2,3,460,403,63,5,10,68,Stylish Luxury Digital Watch,57,3,171,9.03,156,True,1667987616.286083
2,3,460,403,63,5,10,81,Round Silver Frame Sun Glasses,19,1,19,10.1,17,False,1667987616.286083
2,3,460,403,63,5,10,90,Cycle Bike Glow,35,1,35,11.08,31,False,1667987616.286083
3,4,553,493,83,5,10,36,Sleeve Shirt Womens,90,1,90,10.89,80,False,1667987616.286083
3,4,553,493,83,5,10,54,Pubg Printed Graphic T-Shirt,46,1,46,16.44,38,False,1667987616.286083
3,4,553,493,83,5,10,11,perfume Oil,13,3,39,8.4,36,False,1667987616.286083
3,4,553,493,83,5,10,47,Sneaker shoes,120,2,240,10.37,215,True,1667987616.286083
3,4,553,493,83,5,10,64,Leather Strap Skeleton Watch,46,3,138,10.2,124,True,1667987616.286083
4,5,844,745,58,5,10,23,Orange Essence Food Flavou,14,3,42,8.04,39,False,1667987616.286083
4,5,844,745,58,5,10,91,Black Motorbike,569,1,569,13.63,491,True,1667987616.286083
4,5,844,745,58,5,10,45,Malai Maxi Dress,50,2,100,5.07,95,True,1667987616.286083
4,5,844,745,58,5,10,84,Square Sunglasses,28,1,28,13.89,24,False,1667987616.286083
4,5,844,745,58,5,10,70,Stainless Steel Women,35,3,105,8.98,96,True,1667987616.286083
5,6,1454,1276,26,5,12,53,printed high quality T shirts,35,3,105,7.54,97,True,1667987616.286083
5,6,1454,1276,26,5,12,61,Leather Straps Wristwatch,120,2,240,7.14,223,True,1667987616.286083
5,6,1454,1276,26,5,12,92,HOT SALE IN EUROPE electric racing motorcycle,920,1,920,14.4,788,True,1667987616.286083
5,6,1454,1276,26,5,12,11,perfume Oil,13,3,39,8.4,36,False,1667987616.286083
5,6,1454,1276,26,5,12,37,ank Tops for Womens/Girls,50,3,150,12.05,132,True,1667987616.286083
6,7,588,519,56,5,10,61,Leather Straps Wristwatch,120,1,120,7.14,111,True,1667987616.286083
6,7,588,519,56,5,10,80,Chain Pin Tassel Earrings,45,2,90,17.75,74,False,1667987616.286083
6,7,588,519,56,5,10,99,American Vintage Wood Pendant Light,46,3,138,8.84,126,True,1667987616.286083
6,7,588,519,56,5,10,14,Non-Alcoholic Concentrated Perfume Oil,120,1,120,15.6,101,True,1667987616.286083
6,7,588,519,56,5,10,48,Women Strip Heel,40,3,120,10.83,107,True,1667987616.286083
7,8,1129,952,1,5,9,45,Malai Maxi Dress,50,1,50,5.07,47,False,1667987616.286083
7,8,1129,952,1,5,9,83,Wiley X Night Vision Yellow Glasses,30,3,90,6.33,84,False,1667987616.286083
7,8,1129,952,1,5,9,96,lighting ceiling kitchen,30,1,30,14.89,26,False,1667987616.286083
7,8,1129,952,1,5,9,21,- Daal Masoor 500 grams,20,3,60,4.81,57,False,1667987616.286083
7,8,1129,952,1,5,9,2,iphone X,899,1,899,17.94,738,True,1667987616.286083
8,9,3608,3371,91,5,10,74,Leather Hand Bag,57,3,171,11.19,152,True,1667987616.286083
8,9,3608,3371,91,5,10,10,HP Pavilion 15-DK1056WM,1099,3,3297,6.18,3093,True,1667987616.286083
8,9,3608,3371,91,5,10,19,Skin Beauty Serum.,46,2,92,10.68,82,False,1667987616.286083
8,9,3608,3371,91,5,10,53,printed high quality T shirts,35,1,35,7.54,32,False,1667987616.286083
8,9,3608,3371,91,5,10,13,Fog Scent Xpressio Perfume,13,1,13,8.14,12,False,1667987616.286083
9,10,9064,8205,13,5,9,75,Seven Pocket Women Bag,68,1,68,14.87,58,False,1667987616.286083
9,10,9064,8205,13,5,9,39,Women Sweaters Wool,600,1,600,17.2,497,True,1667987616.286083
9,10,9064,8205,13,5,9,3,Samsung Universe 9,1249,3,3747,15.46,3168,True,1667987616.286083
9,10,9064,8205,13,5,9,7,Samsung Galaxy Book,1499,1,1499,4.15,1437,True,1667987616.286083
9,10,9064,8205,13,5,9,93,Automatic Motor Gas Motorcycles,1050,3,3150,3.34,3045,True,1667987616.286083
10,11,581,502,66,5,12,71,Women Shoulder Bags,46,3,138,14.65,118,True,1667987616.286083
10,11,581,502,66,5,12,25,Gulab Powder 50 Gram,70,2,140,13.58,121,True,1667987616.286083
10,11,581,502,66,5,12,65,Stainless Steel Wrist Watch,47,3,141,17.79,116,True,1667987616.286083
10,11,581,502,66,5,12,58,formal offices shoes,57,1,57,12.0,50,False,1667987616.286083
10,11,581,502,66,5,12,53,printed high quality T shirts,35,3,105,7.54,97,True,1667987616.286083
11,12,534,459,52,5,11,32,Sofa for Coffe Cafe,50,2,100,15.59,84,True,1667987616.286083
11,12,534,459,52,5,11,41,NIGHT SUIT,55,3,165,15.05,140,True,1667987616.286083
11,12,534,459,52,5,11,69,Golden Watch Pearls Bracelet Watch,47,1,47,17.55,39,False,1667987616.286083
11,12,534,459,52,5,11,98,3 lights lndenpant kitchen islang,34,3,102,5.92,96,True,1667987616.286083
11,12,534,459,52,5,11,67,Fashion Magnetic Wrist Watch,60,2,120,16.69,100,True,1667987616.286083
12,13,497,425,79,5,9,81,Round Silver Frame Sun Glasses,19,1,19,10.1,17,False,1667987616.286083
12,13,497,425,79,5,9,42,Stiched Kurta plus trouser,80,2,160,15.37,135,True,1667987616.286083
12,13,497,425,79,5,9,29,Handcraft Chinese style,60,3,180,15.34,152,True,1667987616.286083
12,13,497,425,79,5,9,64,Leather Strap Skeleton Watch,46,2,92,10.2,83,False,1667987616.286083
12,13,497,425,79,5,9,54,Pubg Printed Graphic T-Shirt,46,1,46,16.44,38,False,1667987616.286083
13,14,2121,2021,76,5,9,64,Leather Strap Skeleton Watch,46,2,92,10.2,83,False,1667987616.286083
